h0;h1;4.791323
h0;h2;1.593947
h0;h3;4.331508
h0;h4;4.437496
h0;h5;3.557712
h0;h6;2.212823
h0;h7;0.329456
h1;h2;4.564731
h1;h3;3.686912
h1;h4;0.205170
h1;h5;1.105514
h1;h6;1.808563
h1;h7;3.247260
h2;h3;3.846314
h2;h4;0.082759
h2;h5;1.095596
h2;h6;0.410743
h2;h7;1.917097
h3;h4;1.958314
h3;h5;2.225251
h3;h6;0.107171
h3;h7;1.376913
h4;h5;0.746148
h4;h6;3.488124
h4;h7;0.957111
h5;h6;2.474701
h5;h7;4.989082
h6;h7;2.429483
h8;h9;1.605950
h8;h10;0.163456
h8;h11;0.544639
h8;h12;4.791177
h8;h13;3.335561
h8;h14;3.563697
h8;h15;1.822798
h9;h10;2.353661
h9;h11;2.293750
h9;h12;2.121106
h9;h13;3.596486
h9;h14;1.214358
h9;h15;3.821868
h10;h11;2.939299
h10;h12;0.040886
h10;h13;2.293785
h10;h14;3.054687
h10;h15;3.140056
h11;h12;4.609260
h11;h13;3.157460
h11;h14;3.815476
h11;h15;0.949970
h12;h13;4.426235
h12;h14;0.232573
h12;h15;4.285537
h13;h14;0.545141
h13;h15;2.984933
h14;h15;3.331855
h16;h17;4.662455
h16;h18;2.016082
h16;h19;2.212792
h16;h20;1.261536
h16;h21;4.616664
h16;h22;1.900378
h16;h23;4.070838
h17;h18;4.605132
h17;h19;2.667446
h17;h20;4.812044
h17;h21;2.969025
h17;h22;2.858171
h17;h23;3.029483
h18;h19;0.834649
h18;h20;1.039662
h18;h21;3.572974
h18;h22;2.945126
h18;h23;2.357982
h19;h20;2.005466
h19;h21;0.401450
h19;h22;3.671987
h19;h23;1.050424
h20;h21;4.794307
h20;h22;4.541364
h20;h23;4.933119
h21;h22;2.673751
h21;h23;1.088131
h22;h23;4.614973
h24;h25;3.837194
h24;h26;4.385654
h24;h27;0.460308
h24;h28;4.727706
h24;h29;3.161592
h24;h30;2.258102
h24;h31;4.011902
h25;h26;4.090481
h25;h27;2.703707
h25;h28;0.806569
h25;h29;1.131536
h25;h30;4.488853
h25;h31;4.750561
h26;h27;4.816518
h26;h28;1.132261
h26;h29;4.301717
h26;h30;0.007770
h26;h31;4.455996
h27;h28;2.551065
h27;h29;3.905054
h27;h30;1.445029
h27;h31;1.970681
h28;h29;2.292345
h28;h30;1.647645
h28;h31;3.704222
h29;h30;3.376730
h29;h31;4.775030
h30;h31;3.417397
h0;h8;0.900418
h0;h9;0.303902
h0;h10;0.778317
h0;h11;0.671840
h0;h12;0.583550
h0;h13;0.170312
h0;h14;0.920189
h0;h15;0.653932
h1;h8;0.012334
h1;h9;0.335081
h1;h10;0.823654
h1;h11;0.258667
h1;h12;0.683577
h1;h13;0.432890
h1;h14;0.532865
h1;h15;0.787814
h2;h8;0.649230
h2;h9;0.784752
h2;h10;0.396618
h2;h11;0.318940
h2;h12;0.501250
h2;h13;0.512688
h2;h14;0.196295
h2;h15;0.839606
h3;h8;0.868334
h3;h9;0.748410
h3;h10;0.869457
h3;h11;0.220957
h3;h12;0.179188
h3;h13;0.441147
h3;h14;0.819133
h3;h15;0.368367
h4;h8;0.599211
h4;h9;0.627781
h4;h10;0.420979
h4;h11;0.280247
h4;h12;0.415746
h4;h13;0.783896
h4;h14;0.339344
h4;h15;0.449121
h5;h8;0.960873
h5;h9;0.693095
h5;h10;0.439743
h5;h11;0.997477
h5;h12;0.004290
h5;h13;0.067804
h5;h14;0.532799
h5;h15;0.174292
h6;h8;0.147152
h6;h9;0.040708
h6;h10;0.388581
h6;h11;0.571987
h6;h12;0.257227
h6;h13;0.443226
h6;h14;0.624381
h6;h15;0.889179
h7;h8;0.468733
h7;h9;0.082057
h7;h10;0.187024
h7;h11;0.426547
h7;h12;0.346215
h7;h13;0.477485
h7;h14;0.173473
h7;h15;0.828567
h0;h16;0.792718
h0;h17;0.223907
